Make,Total_Incidents,Total_Fatalities,Total_Injuries,Incidents_With_Fatalities,Incidents_With_High_Damage,Fatality_Rate_Per_Incident,High_Damage_Rate_Per_Incident
ADAMS,23,4,23,4,15,17.391304347826086,65.21739130434783
AERO COMMANDER,429,246,181,119,418,27.73892773892774,97.43589743589743
AERONCA,636,118,324,80,629,12.578616352201259,98.89937106918238
AEROSPATIALE,388,349,359,91,338,23.45360824742268,87.11340206185567
AEROSTAR,89,19,130,8,49,8.98876404494382,55.0561797752809
AEROTEK,47,21,17,15,45,31.914893617021278,95.74468085106383
AGUSTA,65,88,26,27,55,41.53846153846154,84.61538461538461
AIR TRACTOR,691,121,186,115,673,16.642547033285094,97.39507959479016
AIR TRACTOR INC,219,40,55,40,216,18.2648401826484,98.63013698630137
AIRBUS,291,1325,298,15,60,5.154639175257731,20.618556701030926
AIRBUS INDUSTRIE,164,1174,537,12,26,7.317073170731707,15.853658536585366
ALON,41,10,22,7,40,17.073170731707318,97.5609756097561
AMERICAN,75,18,62,13,74,17.333333333333336,98.66666666666667
AMERICAN AVIATION,27,15,15,10,26,37.03703703703704,96.29629629629629
AMERICAN AVIATION CORP. (AAC),22,8,12,6,22,27.27272727272727,100.0
AMERICAN CHAMPION (ACAC),33,9,2,6,32,18.181818181818183,96.96969696969697
AMERICAN CHAMPION AIRCRAFT,54,13,18,9,53,16.666666666666664,98.14814814814815
ATR,35,185,65,4,9,11.428571428571429,25.71428571428571
AVIAT,140,23,45,16,139,11.428571428571429,99.28571428571429
AVIAT AIRCRAFT INC,77,7,20,4,76,5.194805194805195,98.7012987012987
AYRES,235,45,63,43,228,18.29787234042553,97.02127659574468
AYRES CORPORATION,45,5,15,5,45,11.11111111111111,100.0
BAE,22,8,2,3,9,13.636363636363635,40.909090909090914
BALLOON WORKS,147,14,203,10,73,6.802721088435375,49.65986394557823
BARNES,22,0,21,0,12,0.0,54.54545454545454
BEECH,5371,3781,2435,1574,5123,29.30552969651834,95.38261031465277
BEECHCRAFT,30,36,12,14,29,46.666666666666664,96.66666666666667
BELL,2722,1332,2000,583,2608,21.418074944893462,95.81190301249082
BELL HELICOPTER TEXTRON,23,12,14,5,22,21.73913043478261,95.65217391304348
BELL HELICOPTER TEXTRON CANADA,23,11,9,7,18,30.434782608695656,78.26086956521739
BELLANCA,1045,345,435,214,1033,20.47846889952153,98.85167464114832
BOEING,2738,8748,4918,167,906,6.099342585829072,33.089846603360115
BOEING STEARMAN,51,8,18,5,49,9.803921568627452,96.07843137254902
BOMBARDIER,77,79,55,4,31,5.194805194805195,40.25974025974026
BOMBARDIER INC,68,55,28,2,22,2.941176470588235,32.35294117647059
"BOMBARDIER, INC.",23,49,9,1,11,4.3478260869565215,47.82608695652174
BRANTLY,20,6,10,5,20,25.0,100.0
BRANTLY HELICOPTER,39,4,13,4,39,10.256410256410255,100.0
BRITISH AEROSPACE,90,244,93,14,39,15.555555555555555,43.333333333333336
BRITTEN-NORMAN,42,44,38,11,40,26.190476190476193,95.23809523809523
BURKHART GROB,121,19,55,14,119,11.570247933884298,98.34710743801654
CALLAIR,26,1,14,1,26,3.8461538461538463,100.0
CAMERON,63,16,116,9,29,14.285714285714285,46.03174603174603
CAMERON BALLOONS,25,1,52,1,9,4.0,36.0
CANADAIR,68,53,64,18,40,26.47058823529412,58.82352941176471
CASA,22,54,66,10,16,45.45454545454545,72.72727272727273
CESSNA,27145,9638,11769,4634,26466,17.071283846012157,97.49861853011605
CESSNA AIRCRAFT CO,24,4,6,3,22,12.5,91.66666666666666
CHAMPION,519,135,198,89,514,17.148362235067438,99.03660886319847
CHRISTEN INDUSTRIES,54,21,18,14,53,25.925925925925924,98.14814814814815
CIRRUS,150,98,58,50,141,33.33333333333333,94.0
CIRRUS DESIGN CORP,223,127,92,72,210,32.28699551569507,94.17040358744396
CIRRUS DESIGN CORP.,75,48,44,25,69,33.33333333333333,92.0
CONSOLIDATED AERONAUTICS INC.,39,2,29,2,39,5.128205128205128,100.0
CONTINENTAL COPTERS,30,4,12,3,30,10.0,100.0
CONVAIR,43,51,56,11,38,25.581395348837212,88.37209302325581
COSTRUZIONI AERONAUTICHE TECNA,34,4,7,3,33,8.823529411764707,97.05882352941177
CUB CRAFTERS,24,6,6,4,24,16.666666666666664,100.0
CUB CRAFTERS INC,20,0,1,0,20,0.0,100.0
CUBCRAFTERS INC,22,0,8,0,22,0.0,100.0
CURTISS-WRIGHT,20,6,4,3,19,15.0,95.0
DASSAULT,30,18,22,5,19,16.666666666666664,63.33333333333333
DASSAULT-BREGUET,21,5,4,2,14,9.523809523809524,66.66666666666666
DE HAVILLAND,421,368,376,92,348,21.852731591448933,82.6603325415677
DEHAVILLAND,101,63,69,17,92,16.831683168316832,91.0891089108911
DIAMOND,49,13,19,8,45,16.3265306122449,91.83673469387756
DIAMOND AIRCRAFT IND INC,74,16,23,10,71,13.513513513513514,95.94594594594594
DIAMOND AIRCRAFT INDUSTRIES,44,6,21,4,42,9.090909090909092,95.45454545454545
DORNIER,32,34,8,4,17,12.5,53.125
DOUGLAS,281,984,352,54,176,19.217081850533805,62.63345195729537
EAGLE AIRCRAFT CO.,42,4,14,4,41,9.523809523809524,97.61904761904762
EIPPER,46,18,29,17,46,36.95652173913043,100.0
EIRIAVION OY,20,1,4,1,19,5.0,95.0
EMBRAER,236,436,267,40,105,16.94915254237288,44.49152542372881
ENGINEERING & RESEARCH,20,2,8,2,20,10.0,100.0
ENSTROM,296,49,132,34,287,11.486486486486488,96.95945945945947
ERCOUPE,88,18,49,13,88,14.772727272727273,100.0
ERCOUPE (ENG & RESEARCH CORP.),160,42,76,31,160,19.375,100.0
EUROCOPTER,220,186,173,59,210,26.81818181818182,95.45454545454545
EUROCOPTER DEUTSCHLAND GMBH,21,9,8,4,17,19.047619047619047,80.95238095238095
EUROCOPTER FRANCE,45,24,20,11,43,24.444444444444443,95.55555555555556
EVEKTOR-AEROTECHNIK AS,30,2,6,1,30,3.3333333333333335,100.0
EXTRA FLUGZEUGBAU,21,13,4,10,20,47.61904761904761,95.23809523809523
FAIRCHILD,161,146,132,24,127,14.906832298136646,78.88198757763976
FAIRCHILD HILLER,39,30,22,13,38,33.33333333333333,97.43589743589743
FLIGHT DESIGN,29,3,17,2,28,6.896551724137931,96.55172413793103
FLIGHT DESIGN GMBH,50,7,26,6,48,12.0,96.0
FOKKER,66,221,151,6,39,9.090909090909092,59.09090909090909
GARLICK,32,9,22,8,30,25.0,93.75
GATES LEARJET,66,50,43,20,55,30.303030303030305,83.33333333333334
GLASAIR,24,17,10,12,24,50.0,100.0
GLASER-DIRKS,20,6,9,6,19,30.0,95.0
GLASFLUGEL,30,5,10,5,30,16.666666666666664,100.0
GLOBE,98,27,44,21,97,21.428571428571427,98.9795918367347
GREAT LAKES,66,11,19,8,63,12.121212121212121,95.45454545454545
GRUMMAN,1172,248,439,131,1144,11.177474402730375,97.61092150170649
GRUMMAN ACFT ENG COR-SCHWEIZER,58,1,18,1,58,1.7241379310344827,100.0
GRUMMAN AMERICAN,226,111,128,59,224,26.10619469026549,99.11504424778761
GRUMMAN AMERICAN AVN. CORP.,50,14,24,8,49,16.0,98.0
GRUMMAN-SCHWEIZER,127,7,38,6,126,4.724409448818897,99.21259842519686
GULFSTREAM,87,69,38,21,64,24.137931034482758,73.5632183908046
GULFSTREAM AEROSPACE,30,24,25,7,18,23.333333333333332,60.0
GULFSTREAM AMERICAN,56,26,27,16,52,28.57142857142857,92.85714285714286
GULFSTREAM-SCHWEIZER,27,1,10,1,27,3.7037037037037033,100.0
HAWKER SIDDELEY,32,36,22,11,26,34.375,81.25
HELIO,113,17,37,9,111,7.964601769911504,98.23008849557522
HILLER,348,30,145,23,344,6.609195402298851,98.85057471264368
HOMEBUILT,29,4,10,4,28,13.793103448275861,96.55172413793103
HUGHES,932,203,573,136,908,14.592274678111588,97.42489270386267
I.C.A. BRASOV,28,5,17,4,28,14.285714285714285,100.0
INTERSTATE,20,7,8,3,20,15.0,100.0
ISRAEL AIRCRAFT INDUSTRIES,36,50,13,11,29,30.555555555555557,80.55555555555556
JOHNSON,25,9,11,7,25,28.000000000000004,100.0
KAMAN,38,11,17,10,34,26.31578947368421,89.47368421052632
LAKE,150,48,103,25,149,16.666666666666664,99.33333333333333
LANCAIR,52,39,13,22,51,42.30769230769231,98.07692307692307
LEARJET,134,133,57,42,117,31.343283582089555,87.31343283582089
LET,136,39,67,10,135,7.352941176470589,99.26470588235294
LOCKHEED,123,326,276,38,78,30.89430894308943,63.41463414634146
LUSCOMBE,414,71,168,50,410,12.077294685990339,99.03381642512076
MAULE,589,110,161,65,585,11.03565365025467,99.32088285229203
MBB,73,65,52,28,69,38.35616438356164,94.52054794520548
MCDONNELL DOUGLAS,608,1286,2061,70,287,11.513157894736842,47.20394736842105
MCDONNELL DOUGLAS HELICOPTER,33,4,25,3,31,9.090909090909092,93.93939393939394
MD HELICOPTER,41,23,36,10,37,24.390243902439025,90.2439024390244
MILLER,20,7,9,7,20,35.0,100.0
MITSUBISHI,145,167,49,61,131,42.06896551724138,90.3448275862069
MOONEY,1334,685,639,376,1296,28.18590704647676,97.15142428785607
MOONEY AIRCRAFT CORP.,35,8,14,7,34,20.0,97.14285714285714
NAVION,79,22,56,14,79,17.72151898734177,100.0
NORTH AMERICAN,383,191,122,122,360,31.853785900783286,93.99477806788512
PILATUS,60,75,43,19,56,31.666666666666664,93.33333333333333
PIPER,14869,6688,6816,3203,14527,21.54146210236062,97.69991256977605
PIPER AIRCRAFT INC,27,9,11,6,26,22.22222222222222,96.29629629629629
PITTS,154,42,58,33,149,21.428571428571427,96.75324675324676
PZL-MIELEC,22,3,10,3,22,13.636363636363635,100.0
QUAD CITY,20,11,8,9,20,45.0,100.0
QUICKIE,28,5,7,4,27,14.285714285714285,96.42857142857143
QUICKSILVER,64,22,37,19,62,29.6875,96.875
RANS,74,41,26,30,73,40.54054054054054,98.64864864864865
RAVEN,86,4,112,3,44,3.488372093023256,51.162790697674424
RAYTHEON,32,39,9,11,23,34.375,71.875
RAYTHEON AIRCRAFT COMPANY,70,62,44,22,63,31.428571428571427,90.0
REPUBLIC,36,8,22,6,35,16.666666666666664,97.22222222222221
ROBINSON,1229,618,539,349,1197,28.39707078925956,97.39625711960944
ROBINSON HELICOPTER,230,54,118,33,225,14.347826086956522,97.82608695652173
ROBINSON HELICOPTER CO,22,13,3,7,21,31.818181818181817,95.45454545454545
ROBINSON HELICOPTER COMPANY,194,49,113,28,188,14.432989690721648,96.90721649484536
ROCKWELL,355,198,112,82,342,23.098591549295776,96.3380281690141
ROCKWELL INTERNATIONAL,75,23,20,13,71,17.333333333333336,94.66666666666667
ROLLADEN-SCHNEIDER,42,9,15,9,42,21.428571428571427,100.0
ROTORWAY,68,10,23,9,68,13.23529411764706,100.0
RUTAN,20,3,12,3,20,15.0,100.0
RYAN,110,37,92,21,110,19.090909090909093,100.0
SAAB,22,23,7,3,8,13.636363636363635,36.36363636363637
SAAB-SCANIA AB (SAAB),44,24,18,3,17,6.8181818181818175,38.63636363636363
SCHEMPP-HIRTH,91,28,36,26,88,28.57142857142857,96.7032967032967
SCHLEICHER,146,39,65,30,142,20.54794520547945,97.26027397260275
SCHWEIZER,773,89,320,71,752,9.184993531694696,97.28331177231566
SCHWEIZER AIRCRAFT CORP,20,2,5,2,19,10.0,95.0
SHORT BROTHERS,35,13,13,7,21,20.0,60.0
SIAI-MARCHETTI,38,19,23,12,38,31.57894736842105,100.0
SIKORSKY,233,193,224,54,198,23.17596566523605,84.97854077253218
SILVAIRE,20,7,11,5,20,25.0,100.0
SMITH,60,29,23,21,59,35.0,98.33333333333333
"SMITH, TED AEROSTAR",51,31,12,19,48,37.254901960784316,94.11764705882352
SNOW,33,4,2,3,33,9.090909090909092,100.0
SOCATA,126,106,59,48,122,38.095238095238095,96.82539682539682
STEARMAN,27,1,13,1,27,3.7037037037037033,100.0
STINSON,439,71,222,38,434,8.656036446469248,98.86104783599089
SUKHOI,22,94,6,11,20,50.0,90.9090909090909
SWEARINGEN,179,107,89,31,137,17.318435754189945,76.53631284916202
TAYLORCRAFT,382,78,217,56,377,14.659685863874344,98.69109947643979
TEMCO,29,6,18,6,28,20.689655172413794,96.55172413793103
TEXAS HELICOPTER,30,5,6,4,30,13.333333333333334,100.0
THUNDER AND COLT,23,1,65,1,12,4.3478260869565215,52.17391304347826
VANS,129,64,65,45,128,34.883720930232556,99.2248062015504
VANS AIRCRAFT,24,9,11,5,24,20.833333333333336,100.0
VARGA,24,6,17,5,24,20.833333333333336,100.0
WACO,143,13,64,6,137,4.195804195804196,95.8041958041958
WEATHERLY,94,10,23,10,94,10.638297872340425,100.0
WSK PZL MIELEC,88,17,28,17,88,19.318181818181817,100.0
YAKOVLEV,46,33,11,22,45,47.82608695652174,97.82608695652173
ZENAIR,30,8,9,6,30,20.0,100.0
ZENITH,44,11,16,8,44,18.181818181818183,100.0
